"Design value to translate",翻訳する設計値
"To connect your App Key and API secret, first select the relevant Store View.",アプリキーとAPIシークレットを接続するには、まず該当するストアビューを選択してください。
"Need help?",ヘルプが必要ですか？
"Setup Guide",セットアップガイド
"Sync progress: %1",同期の進行状況。%1
"Last sync date: %1","最後の同期日: %1"
"Total orders synced with Yotpo: %1","Yotpoと同期した総注文数: %1"
"Valued customer",大切にされているお客様
"Unfortunately Amazon Pay declined the payment for your order in our online shop %storeName. Please contact us.","申し訳ありませんが、Amazon Payではオンラインショップ%storeNameでのご注文の支払いが拒否されました。お手数ですが、お問い合わせください。"
"Kind regards",よろしくお願いします。
"Thank you very much for your order at %storeName",storeNameでのご注文ありがとうございました。
"Amazon Pay was not able to process your payment","Amazon Payでお支払いを処理できませんでした。"
"Please go to <a href=""%amazonAccountUrl"">%amazonAccountUrl</a> and update the payment information for your order","<a href=""%amazonAccountUrl"">%amazonAccountUrl</a> にアクセスして、ご注文のお支払い情報を更新してください。"
"Afterwards we will automatically request payment again from Amazon Pay and you will receive a confirmation email","その後、再度Amazon Payから自動で支払いを依頼しますので、確認のメールが届きます。"
"Or continue below to pay with a credit card",またはクレジットカードでのお支払いは以下の通りです。
"Return to standard checkout",標準チェックアウトに戻る
"Simulate Payment Scenarios",支払いシナリオのシミュレーション
"foo %bar",フーバー
"Your company has been allocated a credit of %available_credit.
    You can now use the Payment On Account method to place you orders.","あなたの会社には %available_credit のクレジットが割り当てられました。
    これで、注文を行うために口座払いの方法を使用できるようになりました。"
"Your credit limit has been updated and is now %available_credit.
    Your outstanding balance currently totals %outstanding_balance. You are %exceed_limit to exceed the credit limit.","与信限度額が更新され、現在は %available_credit となっています。
    あなたの残高は現在、合計で %outstanding_balance となっています。あなたは %exceed_limit で与信限度額を超えています。"
"Available Credit ",利用可能なクレジット
"Company credit account will be charged: ",会社のクレジット口座に請求されます。
"You've been added to the <a href=%customer_url>%company_name</a> as the company member.
    Once you enter your account,
    the company's shared resources will be available for you.","<a href=%customer_url>%company_name</a>に法人会員として追加されました。
    アカウントを入力したら
    の共有リソースが利用できるようになります。"
"If this is a mistake,
    please contact the company Admin at %company_admin_email.","これが間違いであれば
    会社の管理者（%company_admin_email）に連絡してください。"
"The status of your company <strong>%company_name</strong>
    is now <strong>Active</strong>.
    Once you login, you will be able to place orders on behalf of your company
    and use other B2B features.","あなたの会社のステータス <strong>%company_name</strong>
    が<strong>Active</strong>になりました。
    ログインすると、あなたの会社に代わって注文ができるようになります。
    を使用して、他の B2B 機能を使用することができます。"
"Allocated Sources",割り当てられたソース
"Show More",もっと見る
"New quote ",新しい見積もり
" submitted by buyer"," 買い手提出"
"Your quote ",あなたの引用
" has been declined by the seller."," は出品者によって辞退されました。"
" expires on "," の有効期限は"
" after which time you can’t order the items in the quote. After the expiration,
    you’ll have to negotiate the price with the seller again.","を過ぎてしまうと、見積書に記載されている商品を注文することができなくなります。
その場合は、再度売主と価格交渉をする必要があります。"
"The quote ",その際の見積書の
" after which time it will be reset to its default expiration period. To extend the
    lifetime of the quote, update its expiration date."," をクリックすると、デフォルトの有効期限にリセットされます。
    見積書の有効期限を更新します。"
"Expiration date for the Quote %quoteName has been reset so you can keep working on the quote.
    You can set a new expiration date if you wish.","見積書 %quoteName の有効期限がリセットされたので、見積書の作業を続けることができます。
    必要に応じて新しい有効期限を設定することができます。"
"Quote ",見積もり
" updated by buyer"," 買い替え"
"The seller responded to your quote ",売り手がお見積りに応じてくれた
"The Quote expires after ",見積もりの有効期限は、次のとおりです。
"If you have any questions, please feel free to contact us at <a href=""mailto:%support_email"">%support_email</a> or by phone at <a href=""tel:%store_phone"">%store_phone</a>","ご不明な点がございましたら、<a href=""mailto:%support_email"">%support_email</a> または、<a href=""tel:%store_phone"">%store_phone</a>までお気軽にお問い合わせください。"
"2FA configuration required for %name","2FA 構成が %name に必要です。"
"You are required to configure website-wide and personal Two-Factor Authorization in order to login to %store",storeにログインするには、Webサイト全体と個人の二重認証を構成する必要があります。
"To do that please <a href=""%url"">Click here</a>","それを行うには、<a href=""%url"">ここをクリックしてください</a>。"
"You are required to configure personal Two-Factor Authorization in order to login to %store",storeにログインするには、個人的な二重認証を構成する必要があります。
"Thank you, %store",ありがとうございます、%store
"This element contains invalid data. Please resolve this before saving.",この要素には無効なデータが含まれています。保存する前に解決してください。
Tooltip,ツールチップ
"New admin user '%user_name' created","新しい管理者ユーザ '%user_name' が作成されました。"
"A new admin account was created for %first_name, %last_name using %email.","新しい管理者アカウントが %email を使用して %first_name、%last_name に作成されました。"
"From only",のみから
"per month",つきあたり
Months,月間
"Monthly Payment:",毎月の支払い。
"Instalment Rate:",分割払い率。
"Cost of purchase:",購入費用。
"Total inc. interest:",利息の合計。
"If you are approved for a credit limit with PayPal Credit and use it for future purchases, the APR for those purchases won’t be more than 19.9% and may be even lower.",あなたがPayPalクレジットで与信限度額の承認を受け、今後の購入に使用する場合、それらの購入のためのAPRは19.9％以上にはなりませんし、さらに低くなる可能性があります。
"Representative Example:",代表的な例。
"Purchase Rate: 19.9% p.a. (variable)","購入率。19.9% p.a. (可変)"
"Representative: 19.9% APR (variable)",代表者：19.9％のAPR（変動あり
"Assumed Credit Limit: £1,200","想定クレジット限度額：1,200ポンド"
"Subject to status. Terms and Conditions apply.",ステータスの対象となります。利用規約が適用されます。
"Routing Number",ルーティング番号
"Account Type",口座の種類
"Ownership Type",所有形態
"Business Name",事業名
"Proof of Authorization",認可の証明
"Pay with ACH",ACHでのお支払い
"Pay with Venmo",Venmoでのお支払い
"Invalid JSON credentials entered, please try again.","無効な JSON クレデンシャルが入力されました。"
"Credential fields successfully updated and being saved.",クレデンシャルフィールドが正常に更新され、保存されています。
"Your Amazon session has expired.  Please sign in again by clicking the Amazon Pay Button.","お客様のAmazonセッションは有効期限が切れています。 Amazon Payボタンをクリックして再度サインインしてください。"
"Your API credentials are not set. Please make sure that you have a valid Engagement Cloud account.","お客様のAPI認証情報が設定されていません。有効なEngagement Cloudアカウントがあることを確認してください。"
Copied!,コピーしました!
"Click to copy URL",クリックしてURLをコピー
"You are about to allow dotdigital to import customers that haven't explicitly opted into your emails. This means Customers and Guests address book will contain contacts that you might not be able to reach out, depending on the applicable regulations. Do you wish to continue?",あなたは、ドットデジタルがあなたの電子メールに明示的にオプトインしていない顧客をインポートできるようにしようとしています。これは、顧客とゲストのアドレス帳には、適用される規則に応じて、あなたが連絡を取ることができない可能性のある連絡先が含まれていることを意味します。続けますか？
"You are about to enable this feature for customers that haven't explicitly opted into your emails. Do you wish to continue?",お客様のメールに明示的にオプトインしていないお客様のために、この機能を有効にしようとしています。続けますか？
"An unknown error occurred. Please try another payment method",不明なエラーが発生しました。別のお支払い方法をお試しください
"The widget %1 is no longer available. Select a different widget.","ウィジェット %1 は使用できなくなりました。別のウィジェットを選択してください。"
"Please enter a number greater 0 in this field.",このフィールドには0以上の数字を入力してください。
"Please select one of each ratings above.",上記の各評価を1つ選択してください。
"Please specify Url.","Url を指定してください。"
"All %1","すべての %1"
"Please remove invalid characters: {0}.",無効な文字を削除してください。{0}.
"Forbidden extensions has been used. Avoid usage of ",禁止されている拡張機能が使用されています。の使用を避けてください。
"Please select one of the options above.",上記のいずれかを選択してください。
"Please select a file.",ファイルを選択してください。
"Card type does not match credit card number.",カードの種類とクレジットカード番号が一致しません。
"Credit card number does not match credit card type.",クレジットカード番号とクレジットカードの種類が一致しません。
"Incorrect credit card expiration date.",クレジットカードの有効期限が間違っています。
"Please enter less or equal than %1 symbols.",記号を%1以下で入力してください。
"Please enter more or equal than %1 symbols.",記号を%1以上入力してください。
"Please enter a valid value from list",リストから有効な値を入力してください
"Please enter valid SKU key.",有効なSKUキーを入力してください。
"Please enter a valid number.",有効な番号を入力してください。
"This is required field",これは必須項目です
"Admin is a required field in each row.",管理者は各行の必須項目です。
"Please fix this field.",このフィールドを修正してください。
"Please enter a valid URL.",有効なURLを入力してください。
"Please enter a valid date (ISO).",有効な日付（ISO）を入力してください。
"Please enter only digits.",数字のみ入力してください。
"Please enter no more than {0} characters.",{0}文字以内で入力してください。
"Please enter at least {0} characters.",{0}文字以上で入力してください。
"Please enter a value between {0} and {1} characters long.",{0}～{1}文字の間で入力してください。
"Please enter a value between {0} and {1}.",{0}から{1}の間の値を入力してください。
pname,pname
partUids,PartUids
dom,dom
eventOrder,eventOrder
"Could not fetch licensing information.",ライセンス情報を取得できませんでした。
"The image has been licensed.",画像はライセンスされています。
"Authentication Failed. Please try again with another form of payment.",認証に失敗しました。別の支払い方法で再度お試しください。
"Something went wrong with your request. Please try again later.",リクエストに何か問題が発生しました。後でもう一度お試しください。
"Please specify a regionId in shipping address.",配送先住所にregionIdを指定してください。
"Gift Card %1 was removed.","ギフトカード %1 が削除されました。"
"Gift Card %1 was added.","ギフトカード %1 が追加されました。"
"Are you sure you want to delete ""%s"" image?","本当に ""%s"" 画像を削除してよろしいですか?"
"There was an error on attempt to delete the image.",画像を削除しようとしてエラーが発生しました。
"You have successfully removed the image.",画像の削除に成功しました。
"Could not retrieve image details.",画像の詳細を取得できませんでした。
"Could not create the directory.",ディレクトリを作成できませんでした。
"Could not delete the directory.",ディレクトリを削除できませんでした。
"The following folder is going to be deleted: %1",以下のフォルダが削除されます。
"Cannot upload <b>",<b>をアップロードできません。
"Successfully uploaded ",正常にアップロードされました
"Edit wish list",希望のリストを編集する
"Maximum length of the message is ",メッセージの最大長は
"Please enter the location name.",地名を入力してください。
"Enter latitude",緯度を入力してください
"Enter longitude",経度を入力します。
"Please enter a number between -85 and 85",85から85の間の数字を入力してください
"Please enter a number between -180 and 180",180～180の間の数字を入力してください。
"Please enter a valid video URL. Valid URLs have a video file extension (.mp4, .webm, .ogv) or links to videos on YouTube or Vimeo.","有効な動画のURLを入力してください。有効な URL には、動画ファイルの拡張子 (.mp4, .webm, .ogv) または YouTube または Vimeo の動画へのリンクが含まれています。"
"Please enter a valid CSS class.",有効なCSSクラスを入力してください。
"Adding link in both content and outer element is not allowed.",コンテンツと外部要素の両方にリンクを追加することはできません。
"Please enter a valid number or calculation: Valid numbers must have an extension (px, %, pt, vh). Calculations must have white space around the + and - operators and cannot divide by zero.","有効な数値または計算を入力してください。有効な数値には拡張子（px, %, pt, vh）を付ける必要があります。計算は、+演算子と-演算子の周りに空白を入れ、0で割ることはできません。"
"Apply Template",テンプレートの適用
"Are you sure you want to apply this template? This will overwrite any existing content.",このテンプレートを適用してもよろしいでしょうか？既存のコンテンツが上書きされます。
"Template Preview",テンプレートプレビュー
"Google Maps Style JSON is invalid. Please paste the valid JSON style.",GoogleマップのスタイルJSONが無効です。有効なJSONスタイルを貼り付けてください。
"Please enter a number 2 or greater in this field.",このフィールドには2以上の数字を入力してください。
"Default grid size must be less than the maximum grid size.",デフォルトのグリッドサイズは最大グリッドサイズ以下である必要があります。
" product(s) require(s) your attention."," 製品はあなたの注意を必要としています。"
"Get available payment methods",利用可能な支払い方法を取得
"Your request has been expired",リクエストの期限が切れました
"Your request has been rejected",リクエストは拒否されました
"Invalid key or key is not registered.",無効なキーまたはキーが登録されていません。
"Unable to register your device",デバイスの登録ができない
"There was an error processing your key.",キーの処理にエラーが発生しました。
"Please enter a valid percentage discount value greater than 0.",有効な割引率を0以上で入力してください。
"Please use only lowercase letters (a-z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.",このフィールドには小文字(a-z)、数字(0-9)、アンダースコア(_)のみを使用してください。
"4111 1111 1111 1111","4111 1111 1111 1111"
"Please enter a card number, expiration date and CVV",カード番号、有効期限、CVVを入力してください。
"Please correct the problems with the Credit Card fields.",クレジットカード欄の問題を修正してください。
"The payment method used, already exists in the user's vault. Please use the vault option instead.",使用されている支払い方法は、すでにユーザーの保管場所に存在しています。代わりに金庫オプションを使用してください。
"CVV did not pass verification",CVVは検証を通過しませんでした
"There was an issue tokenizing the card. Please check the card is valid.",カードのトークン化に問題がありました。カードが有効であることを確認してください。
"There was an error connecting to Braintree. Please try again.",ブレインツリーへの接続にエラーが発生しました。再度お試しください。
"There was an issue processing the payment. Please try again.",支払いの処理に問題がありました。再度お試しください。
"Please select an Environment",環境を選択してください
"Please enter a Merchant ID",マーチャントIDを入力してください
"Please enter a Public Key",公開鍵を入力してください
"Please enter a Private Key",秘密鍵を入力してください
"Braintree Credential Validation Failed",ブレインツリーのクレデンシャルの検証に失敗しました。
"We're validating your credentials...",あなたの資格情報を確認しています...
"Your credentials are valid.",あなたの資格情報は有効です。
"Your Braintree Credentials could not be validated. Please ensure you have selected the correct environment and entered a valid Merchant ID, Public Key and Private Key.",Braintreeの資格情報を検証できませんでした。正しい環境を選択し、有効なマーチャントID、公開鍵、秘密鍵を入力してください。
"There are no shipping methods available for you right now. Please try again or use an alternative payment method.",現在ご利用いただける配送方法はありません。再度お試しいただくか、別のお支払い方法をご利用ください。
"We're unable to fetch the cart totals for you. Please try an alternative payment method.",カートの合計を取得することができません。別のお支払い方法をお試しください。
"We're unable to find any shipping methods for you. Please try an alternative payment method.",あなたのための配送方法を見つけることができません。別のお支払い方法をお試しください。
"We're unable to take your payment through Apple Pay. Please try an again or use an alternative payment method.","Apple Payでのお支払いができません。再度お試しいただくか、別のお支払い方法をご利用ください。"
"Pay with Apple Pay","Apple Payでのお支払い"
"We're unable to take payments through Apple Pay at the moment. Please try an alternative payment method.","現在、Apple Payでのお支払いができません。別のお支払い方法をお試しください。"
"Buy with Google Pay","Google Payで購入する"
"Braintree hosted fields could not be initialized. Please contact the store owner.",ブレインツリーでホストされているフィールドを初期化できませんでした。ストアオーナーにお問い合わせください。
"PayPal Checkout could not be initialized. Please contact the store owner.",PayPalのチェックアウトを初期化できませんでした。店舗のオーナーに連絡してください。
"There was an error with the provided bank details. Please check and try again.",提供された銀行の詳細にエラーが発生しました。ご確認の上、再度お試しください。
"Unable to initialize Braintree Client.",Braintreeクライアントを初期化できません。
"Error initializing ACH: %1","ACH の初期化エラー: %1"
MM/YYYY,MM/YYYY
"Local Payment popup was closed unexpectedly.",ローカル決済ポップアップが予期せず閉じられました。
"Local Payment popup failed to open.",ローカル決済ポップアップを開くことができませんでした。
"Local Payment popup was closed. Payment cancelled.",ローカル決済ポップアップが閉じられました。お支払いはキャンセルされました。
"Venmo not initialized, please try reloading.",Venmoが初期化されていません。
"Venmo app is not available or the payment flow was cancelled.",Venmoアプリが使用できないか、支払いフローがキャンセルされました。
"Venmo payment flow cancelled.","Venmo 支払いフローがキャンセルされました。"
"Error initializing Venmo: %1","Venmo の初期化エラー: %1"
"Browser does not support Venmo.",ブラウザはVenmoをサポートしていません。
"We did not find a valid address",有効なアドレスが見つかりませんでした
"The address is not valid",アドレスは有効ではありません
"The address was updated",アドレスを更新しました
"<div class=""amazon-payment-logo""></div><div class=""amazon-payment-byline"">The convenient, trusted way to pay.<br/>Let your customers check out in just a few clicks or taps using the shipping and payment info already stored in their Amazon account.</div>","<br/> <br/>Amazonアカウントに保存されている配送情報や支払い情報を使って、数回クリックするかタップするだけでチェックアウトできるようになります。"
Credentials,証明書
"Merchant Id",商人ID
"Access Key Id",アクセスキーID
"Secret Access Key",秘密アクセスキー
"Client Id",クライアントID
"<input type=""checkbox"" name=""amazon_test_creds"" id=""amazon_test_creds"" value=""1""><label for=""amazon_test_creds"">Test Credentials</label>","<input type=""checkbox"" name=""amazon_test_creds"" id=""amazon_test_creds"" value=""1""><label for ""amazon_test_creds"">テストの資格情報</label>。"
"Credentials JSON","クレデンシャル JSON"
"Payment Region",支払地域
Sandbox,サンドボックス
"Allowed Javascript Origins",許可されたJavascriptの起源
"Allowed Return URLs",許可されたリターンURL
"IPN URL",アイピーエヌユーエルエル
"Enable Amazon Pay","Amazon Payを有効にする"
"Enable Login with Amazon",Amazonでのログインを有効にする
"Authorization Mode",認可モード
"Update Mechanism",更新の仕組み
Frontend,フロントエンド
"Button Display Language",ボタン表示言語
"Controls button and widget language. The default is your shop's locale. Available options can be found <a href=""https://payments.amazon.co.uk/developer/documentation/lpwa/201953980#ENTER_LANGUAGE_PARAMETER"">here</a>. Applies only to UK and DE Amazon Merchant Accounts.","ボタンとウィジェットの言語をコントロールします。デフォルトはお店のロケールです。利用可能なオプションは、<a href=""https://payments.amazon.co.uk/developer/documentation/lpwa/201953980#ENTER_LANGUAGE_PARAMETER"">こちら</a>をご覧ください。UKとDEのAmazonマーチャントアカウントにのみ適用されます。"
"Button Color",ボタンの色
"Button Size",ボタンサイズ
"Show Amazon Pay button on product page","商品ページにAmazon Payボタンを表示"
"Show Amazon Pay button in minicart","ミニカートにAmazon Payボタンを表示"
"Show Amazon Pay in payment methods","支払い方法にAmazon Payを表示する"
"If enabled, Amazon Pay is presented as an option in the list of available payment methods during the final step of checkout.","有効にした場合、Amazon Payは、チェックアウトの最終段階で利用可能な支払い方法のリストのオプションとして表示されます。"
"Sales Options",販売オプション
"Use Multi-currency",マルチカレンシーを使用する
"Developer Options",デベロッパーオプション
"Allowed IPs",許可されたIP
"Comma separated. The ""Login with Amazon"" and ""Amazon Pay"" buttons will <em>only</em> be rendered for clients having the above IPs.
                            If the field is empty, the buttons will be visible to all clients.","コンマで区切られています。Amazonへのログイン」と「Amazon Pay」ボタンは、上記のIPを持つクライアントにのみ表示されます。
                            フィールドが空の場合、ボタンはすべてのクライアントに表示されます。"
"Developer Logs",開発者ログ
"Unfortunately it is not possible to use Amazon Pay for this order, please choose another payment method.","残念ながら、この注文にはAmazon Payを使用することはできません。"
"Processing Failure - unable to authorize transaction.","処理の失敗 - トランザクションを承認できません。"
"Unable to authorize transaction.",取引を承認することができませんでした。
"Buyer did not specify valid Amazon Wallet payment method.",購入者が有効なAmazonウォレットの支払い方法を指定していません。
"Duplicate reference or payment amount already authorized.",参照先が重複しているか、すでに承認されている支払い金額です。
"Invalid values passed in request.",リクエストで渡された値が無効です。
"You have attempted to create more than the maximum allowed limit of one Order Reference object on a Billing Agreement object that is in the Draft State.","ドラフト状態にある請求契約オブジェクト上で、1 つのオーダー参照オブジェクトの最大許容数を超えて作成しようとしました。"
"Number of authorizations, captures or refunds has exceeded allowed limits.",許可数、キャプチャ数、または返金数が許可された上限を超えています。
"Invalid operation for sandbox environment.",サンドボックス環境での操作が無効です。
"Request has an invalid signature.",リクエストの署名が無効です。
"Order reference ID is invalid.","オーダー参照 ID が無効です。"
"Invalid transaction identifier.",トランザクション識別子が無効です。
"Specified seller account is not authorized to execute this request.",指定された販売者アカウントは、このリクエストの実行を許可されていません。
"Order Reference submitted in this request has constraints and cannot be confirmed.",このリクエストで送信された注文参照には制約があり、確認できません。
"Billing Agreement object cannot be modified.","Billing Agreement オブジェクトは変更できません。"
"Capture not refundable.",キャプチャは返金できません。
"You have attempted to capture or close an authorization for an Authorization object that is in a state where a capture or close is not allowed.",キャプチャまたはクローズが許可されていない状態にある認可オブジェクトの認可をキャプチャまたはクローズしようとしました。
"Billing Agreement object cannot closed or canceled.",請求契約オブジェクトはクローズまたはキャンセルできません。
"You have attempted to call an operation on an Order Reference object that is in a state where that operation is not allowed.",その操作が許可されていない状態にあるオーダー参照オブジェクトに対して操作を呼び出そうとしました。
"There was an unknown error in the service.",サービスに不明なエラーが発生しました。
"Request rejected because request rate is higher than allocated throttling limits.",要求率が割り当てられたスロットリング制限よりも高いため、要求が拒否されました。
"The service is temporarily unavailable. Please try again later.",サービスは一時的に利用できません。後ほど再度お試しください。
"Invalid payment method - please select a different payment method.","無効な支払い方法です - 別の支払い方法を選択してください。"
"Show Login with Amazon in authentication popup",認証ポップアップでAmazonにログインする
"Displays Login with Amazon Pay option in Magento's account login popup.","MagentoのアカウントログインポップアップにAmazon Payオプションでのログインを表示します。"
"B2B Data",B2Bデータ
B2B,Ｂ２Ｂ
"Company Status",会社の状況
"Sales Representative Email",営業担当者メール
"Shared Catalog Name",共有カタログ名
"Reset B2B Quotes",B2Bの引用符をリセットする
"Are you sure to delete?",必ず削除していますか？
"Quote Id",引用元
"Quote Imported","引用元: 輸入された"
"Chat Settings",チャット設定
"Configure Chat Widget",チャットウィジェットの設定
"Configure Chat Teams",チャットチームの設定
"Enterprise Data",エンタープライズデータ
"Reward Amount",報酬額
"Last Used Date",最終使用日
DOTDIGITAL,ドットデジタル
Accounts,アカウント
"Data Mapping",データマッピング
"Data Fields Mapping",データフィールドのマッピング
Firstname,ファーストネーム
Lastname,ラストネーム
D.O.B,D.O.B
"Last Logged In Date",最終ログイン日
"Review Count",レビュー回数
"Last Review Date",最終レビュー日
"Subscriber Status",加入者の状況
"Billing Address Line 1",請求先住所1行目
"Billing Address Line 2",請求先住所2行目
"Billing City",請求先都市
"Billing State",課金状態
"Billing Country",課金国
"Billing Postcode",請求先郵便番号
"Billing Telephone",課金電話
"Billing Company",請求書発行会社
"Delivery Address 1",お届け先1
"Delivery Address 2",お届け先2
"Delivery City",配送先都市
"Delivery State",配信状態
"Delivery Country",配達国
"Delivery Postcode",配達郵便番号
"Delivery Telephone",宅配電話
"Delivery Company",配送会社
"Total Number of Orders",総受注数
"Average Order Value",平均注文金額
"Total Spend",総支出
"Last Purchase Date",最終購入日
"Last Increment ID",最終インクリメントID
"Most Purchased Category",最も購入されたカテゴリ
"Most Purchased Brand",最も多く購入されたブランド
"Most Frequent Day Of Purchase",購入頻度の高い日
"Most Frequent Month Of Purchase",購入頻度の高い月
"First Category Purchased",最初に購入したカテゴリー
"Last Category Purchased",最後に購入したカテゴリー
"First Brand Purchased",最初に購入したブランド
"Last Brand Purchased",最後に購入したブランド
"System Values",システム値
"Website Name",ウェブサイト名
"Store View Name",ストアビュー名
"Last Order ID",ラストオーダーID
"Last Quote ID",最後の引用ID
"Abandoned Product Name",放棄された商品名
"Custom Attributes",カスタム属性
"Manage custom attributes",カスタム属性の管理
"Create Data Field",データフィールドの作成
"Data Field Name",データフィールド名
"Data Field Type",データフィールドの種類
"When sending a campaign that uses template personalisation, a default value ensures that a value is always displayed even if a data field is blank.",テンプレートパーソナライゼーションを使用したキャンペーンを送信する場合、デフォルト値を設定することで、データフィールドが空欄であっても常に値が表示されるようになります。
"Make the field public if you want to allow your contacts to view and amend the data you hold on them in this field.",このフィールドで連絡先に保持しているデータの閲覧や修正を許可したい場合は、フィールドを公開してください。
"Create New Data Field",新しいデータフィールドの作成
"Sync Settings",同期設定
"Address Book Mapping",アドレス帳のマッピング
"Allow non-subscribed contacts to be imported",非購読の連絡先のインポートを許可する
"Add Customers To",顧客を追加する
"Add Subscribers To",購読者を追加する
"Add Guests To",ゲストを追加
Sync,同期
"Create Address Book",アドレス帳の作成
"Create New Address Book",新しいアドレス帳の作成
"Abandoned Cart Program",放置されたカートプログラム
"Enrol abandoned cart to",放置されたカートを登録する
"Enrol abandoned cart after",放置されたカートを後に登録
"Customers Email Series",お客様へのメールシリーズ
"Abandoned Cart 1",放置されたカート1
"Enabled\Disabled",EnabledDisabled
"Send After (min)",送信後(分)
"Campaign to Send",送付キャンペーン
"Abandoned Cart 2",放置されたカート2
"Send After",送信後
"Abandoned Cart 3",放置されたカート3
"Guests Email Series",ゲストメールシリーズ
"Visitor action automation enrolment",訪問者のアクション自動化登録
"New Subscriber",新規契約者
"First Customer Order",最初のお客様のご注文
"Customer Order",お客様のご注文
"Guest Order",ゲストオーダー
"Approved Review",承認されたレビュー
"New Wishlist",新しい欲しい物リスト
"Order Status Automation Enrolment",注文状況の自動化登録
"Review Settings",設定の見直し
"Allow review reminder for non-subscribed contacts",未加入の連絡先のレビューリマインダーを許可する
"The system will send the reminder the selected number of days after order creation, if the order status matches.",注文状況が一致した場合、注文作成後、選択した日数分のリマインダーを送信します。
"Delay Period (Days)",遅延期間(日)
"Campaign to send",送付キャンペーン
"Please provide the anchor used on product pages for reviews e.g. #reviews",レビューのために商品ページで使用されているアンカーを提供してください。
"Reviews Anchor","レビュー アンカー"
"Feefo Feedback Engine",Feefoフィードバックエンジン
"This is what you provided Feefo during account setup and is usually your website domain name.",アカウント設定時にFeefoに提供したもので、通常はWebサイトのドメイン名です。
"Feefo Logon",Feefoログオン
"Number of reviews to display per product.",商品ごとに表示するレビュー数
"Reviews Per Product",商品ごとのレビュー
"Enter name of logo template.",ロゴテンプレートの名前を入力してください。
"Logo Template (Optional)",ロゴテンプレート（オプション
"Service Score URL",サービススコアURL
"Enter Feefo logon above before using this URL.",このURLを使用する前に上記のFeefoログオンを入力してください。
"Product Reviews URL",商品レビューURL
"Dynamic Content",動的コンテンツ
"External Dynamic URLs",外部ダイナミックURL
"Secure code for dynamic URLs",動的URLのための安全なコード
Passcode,パスコード
"Recommended: Set a passcode so that basket contents and coupon codes can only be viewed if the following passcode is sent with the request.",おすすめです。リクエストと一緒に以下のパスコードを送信した場合にのみ、バスケットの内容やクーポンコードを閲覧できるようにパスコードを設定します。
"Abandoned Carts (Deprecated)",放置されたカート（非推奨
"Use the <a href=""https://support.dotdigital.com/hc/en-gb/articles/360000419160-Creating-an-abandoned-cart-email"">abandoned cart block</a> functionality from EasyEditor.","EasyEditor の <a href=""https://support.dotdigital.com/hc/en-gb/articles/360000419160-Creating-an-abandoned-cart-email"">カートブロック</a> の機能を使用します。"
"Cart Content URL",カートのコンテンツURL
"Review Contents URL",レビューコンテンツURL
"Coupon Codes (Deprecated)",クーポンコード（非推奨
"We recommend using the 'dotdigital Coupon URL Builder' in Marketing > Promotions > Cart Price Rules.",マーケティング＞プロモーション＞カート価格ルールの「dotdigitalクーポンURLビルダー」の利用をおすすめします。
"Order Recommendation (Deprecated)",注文推奨（非推奨
"Use dotdigital Engagement Cloud's built-in product recommendation functionality. <a href=""https://support.dotdigital.com/hc/en-gb/articles/360000110040-Product-recommendations-an-overview"">Learn more</a>","dotdigital Engagement Cloudに内蔵されている製品レコメンド機能を使用します。<a href=""https://support.dotdigital.com/hc/en-gb/articles/360000110040-Product-recommendations-an-overview"">詳細はこちら</a>。"
"Related Products URL",関連商品URL
"Upsell Products URL",アップセル製品URL
"Crosssell Products URL",クロスセル製品URL
"Cart Recommendation (Deprecated)","カート推奨 (非推奨)"
"Product Recommendation (Deprecated)",製品推奨（非推奨
"Best Sellers URL",ベストセラーズURL
"Add category_id/@CATEGORY_ID@ at the end of url to filter most viewed by category",カテゴリによって最も閲覧されたものをフィルタリングするためにURLの最後にカテゴリID/@CATEGORY_ID@を追加します。
"Most Viewed URL",最も閲覧されたURL
"Product Push URL",製品プッシュURL
"Wishlist Content",欲しい物リストの内容
"Wishlist Related URL",欲しい物リスト関連URL
"Wishlist Upsell Products URL",アップセル製品のURL
"Wishlist Crosssell Products URL","欲しい物リスト クロスセル商品URL"
"Dynamic Products",ダイナミックな製品
"Items To Display",表示する項目
"Upsell Products",アップセル製品
"Crosssell Products",クロスセル製品
"Best Sellers",ベストセラー
"Manual Product Push",マニュアル製品プッシュ
"Fallback Products",フォールバック製品
"Comma Separated Product Id's",コンマで区切られた製品ID
"DDG Transactional","DDG トランザクション"
"Send Mode",送信モード
Port,ポート
"New Account Confirmation Key",新規アカウント確認キー
"New Account Confirmation",新規アカウントの確認
"Remind Password",リマインドパスワード
"Forgot Admin Password",管理者パスワードを忘れた
"Subscription Confirmation",購読の確認
"Unsubscribe Success",配信停止の成功
"New Order Confirmation",新秩序の確認
"New Order Confirmation For Guest",ゲストへの新規注文確認
"Order Update",注文の更新
"Order Update For Guest",ゲストのための注文更新
"New Shipment For Guest",ゲスト向け新入荷
"Shipment Update",出荷状況の更新
"New Invoice Guest",新規請求書ゲスト
"Invoice Update",請求書の更新
"Invoice Update Guest",請求書更新ゲスト
"New Credit Credit Memo",新クレジットメモ
"New Credit Credit Memo Guest","新品クレカメモ ゲスト"
"Credit Memo Update",クレジットメモ更新
"Credit Memo Update Guest",クレジットメモ更新ゲスト
Contact,連絡先
"New Contact Form",新しいお問い合わせフォーム
